time,ax,ay,az,aT,label
3.385,-0.2178,-0.1003,-0.1626,0.29,1
3.422,-0.0494,0.2756,-1.5582,1.5830000000000002,1
3.423,0.6171,0.2406,-1.7122,1.8359999999999999,1
3.424,1.0828,0.0053,-1.3601,1.7380000000000002,1
3.425,1.0119,-0.0886,-1.4806,1.796,1
3.435,0.5933,0.1032,-1.7799,1.879,1
3.444,-0.0486,0.2064,-2.1884,2.199,1
3.454,-0.5264,0.0999,-2.058,2.127,1
3.464,-0.6431,-0.075,-1.3828,1.527,1
3.474,-0.6804,-0.2303,-0.7312,1.025,1
3.485,-0.3459,-0.3095,0.1083,0.47700000000000004,1
3.505,-0.1828,-0.2617,0.4161,0.524,1
3.506,-0.2901,-0.1593,0.1746,0.374,1
3.515,-1.0367,0.084,-0.4019,1.115,1
3.524,-1.6648,0.2386,-0.5605,1.7730000000000001,1
3.535,-2.1475,0.2114,-0.4702,2.209,1
3.545,-2.0383,-0.0913,0.5768,2.12,1
3.554,-1.7552,-0.4244,1.022,2.075,1
3.565,-1.6547,-0.614,1.6783,2.436,1
3.575,-1.5285,-0.9336,2.2694,2.891,1
3.585,-1.7066,-0.9086,2.0289,2.803,1
3.61,-1.8949,-0.8826,1.9068,2.8289999999999997,1
3.611,-1.2286,-1.0212,1.8743,2.463,1
3.615,-0.3829,-1.0502,1.3636,1.7630000000000001,1
3.625,0.8095,-1.0167,1.2693,1.817,1
3.635,1.7429,-0.7067,0.771,2.033,1
3.645,1.7133,-0.1008,-0.1885,1.7269999999999999,1
3.655,1.6352,0.382,-0.7577,1.8419999999999999,1
3.664,1.6781,0.4549,-1.6773,2.416,1
3.675,1.7518,-0.0029,-1.4406,2.2680000000000002,1
3.685,0.8828,-0.2873,-0.3865,1.006,1
3.709,0.269,-0.0619,-0.2644,0.382,1
3.71,-1.1095,0.0231,0.062,1.111,1
3.715,-2.157,-0.1909,0.7962,2.307,1
3.725,-1.9792,-0.5674,1.111,2.34,1
3.735,-1.2972,-1.079,1.8044,2.47,1
3.745,-0.7304,-1.0328,1.4641,1.935,1
3.755,-1.111,-0.3309,-0.1021,1.1640000000000001,1
3.765,-2.0705,0.4722,-0.8963,2.305,1
3.775,-1.9605,0.2834,0.1194,1.984,1
3.785,-1.6257,-0.1523,0.5139,1.712,1
3.814,-0.7846,-1.2701,-0.1598,1.501,1
3.815,0.1493,-1.4606,-0.9181,1.732,1
3.815,1.2373,-0.6124,-1.0476,1.733,1
3.824,2.1493,0.3322,-1.1443,2.457,1
3.835,2.5695,0.8801,-1.5222,3.114,1
3.845,2.2401,0.7576,-1.8951,3.03,1
3.854,1.4064,0.4788,-1.5573,2.1519999999999997,1
3.864,0.4462,-0.6381,0.8398,1.145,1
3.875,-0.2982,-0.2237,-0.281,0.467,1
3.885,-0.4208,-0.0591,-0.6555,0.7809999999999999,1
3.913,-0.4489,-0.346,-0.608,0.831,1
3.915,-0.4369,-0.3455,-0.5316,0.77,1
3.916,-0.5364,-0.237,-0.4549,0.742,1
3.924,-0.2967,-0.448,0.4092,0.675,1
3.935,0.2785,-0.5391,0.8935,1.08,1
3.944,0.6403,-0.3968,0.7181,1.041,1
3.954,0.7493,-0.0544,0.0101,0.7509999999999999,1
3.964,0.5665,0.2764,-1.4564,1.587,1
3.975,0.6859,0.097,-1.798,1.9269999999999998,1
3.985,0.9136,0.251,-1.5432,1.811,1
4.009,1.0396,0.4869,-1.2291,1.682,1
4.01,0.9559,0.4822,-0.8777,1.3840000000000001,1
4.014,0.7071,0.3196,-0.4635,0.904,1
4.024,0.4787,-0.1183,0.0338,0.494,1
4.035,0.4671,-0.4482,0.5602,0.856,1
4.045,0.0502,-0.3692,0.2313,0.439,1
4.054,-0.2051,-0.318,0.0212,0.379,1
4.064,-0.0185,-0.3418,-0.1956,0.39399999999999996,1
4.074,0.3108,-0.2282,-0.4893,0.623,1
4.085,0.3443,0.0325,-0.5988,0.691,1
4.11,0.7384,0.1919,-0.2971,0.8190000000000001,1
4.111,1.0724,0.0117,-0.0984,1.077,1
4.115,0.8878,-0.1892,-0.039,0.909,1
4.125,0.3851,-0.4066,0.0616,0.563,1
4.135,-0.3348,-0.3944,-0.2639,0.581,1
4.145,-0.8132,-0.3277,-0.2902,0.924,1
4.154,-0.8249,-0.3439,-0.3772,0.97,1
4.165,-0.7904,-0.2008,-0.268,0.858,1
4.181,-0.9455,-0.1909,-0.0315,0.965,1
4.185,-0.8023,-0.3749,0.3009,0.935,1
4.206,-0.4776,-0.51,0.3992,0.805,1
4.208,-0.2122,-0.4235,-0.0485,0.47600000000000003,1
4.216,-0.1151,-0.2049,-0.3803,0.447,1
4.224,0.2526,-0.0376,-0.8305,0.8690000000000001,1
4.235,0.6301,0.049,-1.3111,1.455,1
4.245,0.7655,0.1262,-1.6395,1.814,1
4.254,0.9298,0.2444,-1.2506,1.577,1
4.264,1.1902,0.0782,-0.2472,1.218,1
4.275,1.1811,-0.1137,0.0834,1.189,1
4.284,0.8332,-0.2607,0.418,0.968,1
4.304,0.5883,-0.46,0.7527,1.06,1
4.305,0.5637,-0.5503,0.4224,0.894,1
4.315,0.2384,-0.4253,-0.1977,0.526,1
4.325,-0.3355,-0.3432,-0.0596,0.484,1
4.335,-0.6617,-0.4975,0.2065,0.853,1
4.344,-0.886,-0.595,0.6043,1.226,1
4.354,-0.9604,-0.6731,0.9927,1.537,1
4.364,-0.8425,-0.6909,1.5593,1.902,1
4.374,-0.5384,-0.7725,1.8071,2.0380000000000003,1
4.385,-0.2209,-0.8744,1.3329,1.609,1
4.407,0.2268,-0.8831,0.5378,1.0590000000000002,1
4.409,0.6008,-0.6815,-0.318,0.963,1
4.417,0.7375,-0.3598,-0.7664,1.123,1
4.424,0.5963,-0.0984,-1.2797,1.415,1
